"/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y"
0,1.8,0,6.429745273996133e-07,0,1.300665726449071e-06,0,4.154176437750862e-07,0,1.268029549700417e-06,0,3.994363013750065e-07
0.002219734718884717,1.792008955012015,0.002219734718884717,7.264194812558178e-07,0.002219734718884717,1.544236105860111e-06,0.002219734718884717,4.396931756797794e-07,0.002219734718884717,1.492893611987194e-06,0.002219734718884717,4.304149353200052e-07
0.004105821603029748,1.785219042229093,0.004105821603029748,8.375291562562658e-07,0.004105821603029748,1.866033265248858e-06,0.004105821603029748,4.731374047175806e-07,0.004105821603029748,1.789830300714722e-06,0.004105821603029748,4.725372354526058e-07
0.006289728210995792,1.777356978440415,0.006289728210995792,9.815100572116896e-07,0.006289728210995792,2.283385793427775e-06,0.006289728210995792,5.16400800393549e-07,0.006289728210995792,2.174785969670386e-06,0.006289728210995792,5.270282523613171e-07
0.01065754142692788,1.76163285086306,0.01065754142692788,1.389404187584347e-06,0.01065754142692788,3.469011621853681e-06,0.01065754142692788,6.384923252839204e-07,0.01065754142692788,3.267289949083327e-06,0.01065754142692788,6.808276492654668e-07
0.01939316785879205,1.730184595708349,0.01939316785879205,3.048042854105607e-06,0.01606922273731465,5.935974739831011e-06,0.01939316785879205,1.133785177129061e-06,0.01939316785879205,7.722546625123703e-06,0.01939316785879205,1.303486926390907e-06
0.02767334911735051,1.700375943177538,0.02767334911735051,6.855354672170212e-06,0.02116504201601194,9.961910164344681e-06,0.032171939603251,3.454581443275807e-06,0.02550999974186136,1.43908177389301e-05,0.03061129396315845,3.609151905595126e-06
0.03417301958177191,1.676977129505621,0.03417301958177191,1.323643048209907e-05,0.02559426449847408,1.570997215878173e-05,0.03933829151998872,6.971004700866996e-06,0.03002960956889379,2.291336724703366e-05,0.03985975037094126,9.017046636820137e-06
0.03918223085480637,1.658943968922697,0.03918223085480637,2.211807175924628e-05,0.02840163080451106,2.100251473729406e-05,0.0461271377784065,1.386589316255964e-05,0.03264770476801856,3.003353077866408e-05,0.04644190986649167,1.760333278671537e-05
0.04299038413063085,1.645234617129729,0.04299038413063085,3.274169172987977e-05,0.03105580590106181,2.765710239196655e-05,0.05163613072861978,2.442408973060785e-05,0.03513679198898622,3.88637332237105e-05,0.05111748950064655,2.842281803610727e-05
