Point,Corner,mc_iteration,Pass/Fail,Voltage_thres,gm_0,gm_1,ID_max,ID_Interpol,Gain_inter,Rout_0,Rout_1,Voh,Vol,Vih,Vil
18,nom,18,,1.29821782581388e+00,8.72753547498927e-05,1.03646157880779e-05,5.07817025721488e-06,5.06775040614809e-06,-8.29400211663490e+01,9.01035499238802e+05,1.73218831426832e+07,1.75433388748858e+00,3.90330779432057e-02,1.41365272097768e+00,1.27237446687802e+00
19,nom,19,,1.26470696366661e+00,7.93432321619877e-05,1.00668948349155e-05,4.74779898493259e-06,4.73963599486778e-06,-9.00232946101355e+01,1.07568651592912e+06,1.80778392848553e+07,1.75420823197270e+00,3.94611665633890e-02,1.37928263663995e+00,1.23897418884417e+00
20,nom,20,,1.27650918582078e+00,8.10996621036972e-05,1.00898856883029e-05,4.78679825198570e-06,4.77842838858170e-06,-9.00548392286297e+01,1.05374344633844e+06,1.81927003783509e+07,1.75444629507405e+00,3.92029271344815e-02,1.39053405688176e+00,1.25098827361929e+00
21,nom,21,,1.23376992784091e+00,6.84434438864702e-05,9.38096737664159e-06,4.16367140043347e-06,4.15549458275477e-06,-9.28946809291166e+01,1.27800236865267e+06,2.04752101344093e+07,1.75500939041284e+00,3.99401022601176e-02,1.34666275864794e+00,1.20813205228745e+00
22,nom,22,,1.29210221470313e+00,8.47508672085318e-05,1.02302209357082e-05,4.93713177468128e-06,4.92732820253472e-06,-8.57473058708187e+01,9.59215221712582e+05,1.78579035639351e+07,1.75451805286557e+00,3.90066172370609e-02,1.40666515672766e+00,1.26648881492361e+00
23,nom,23,,1.26121537112467e+00,7.77848604720723e-05,9.96964870221150e-06,4.65322592831427e-06,4.64529220020650e-06,-9.17611895037177e+01,1.11806441393379e+06,1.84944504942773e+07,1.75436750443347e+00,3.94219433212149e-02,1.37521278474986e+00,1.23565339459583e+00
24,nom,24,,1.26728963578333e+00,7.58499968628550e-05,9.71226840051107e-06,4.48190997465697e-06,4.47358247330464e-06,-9.18536464324852e+01,1.14631694422465e+06,1.95010722482092e+07,1.75499273619611e+00,3.93094726868741e-02,1.38015109928955e+00,1.24193658641911e+00
25,nom,25,,1.26940341539574e+00,8.43612718182564e-05,1.05480146762819e-05,5.06366272000045e-06,5.05519671722573e-06,-8.85883633895638e+01,9.96569387761487e+05,1.69509941980780e+07,1.75364953007839e+00,3.94158173923970e-02,1.38487229994595e+00,1.24344688736831e+00
26,nom,26,,1.30780836144141e+00,9.06418664115271e-05,1.04925427884856e-05,5.23285531216547e-06,5.22194462645058e-06,-8.11389239493399e+01,8.49530293538200e+05,1.68167264149512e+07,1.75419084633640e+00,3.88294586034827e-02,1.42390989575324e+00,1.28200387400910e+00
27,nom,27,,1.27400084482271e+00,7.96859765936875e-05,9.96112903064875e-06,4.71483323596131e-06,4.70649427914246e-06,-8.94766220648761e+01,1.06499524500136e+06,1.83816999188566e+07,1.75451982064931e+00,3.93233778225955e-02,1.38814704345144e+00,1.24838986052319e+00
28,nom,28,,1.26961769453462e+00,7.88926087389988e-05,1.00205091697625e-05,4.66486570693361e-06,4.65670052516799e-06,-9.27673904995847e+01,1.11470912949336e+06,1.87812147368258e+07,1.75464189186950e+00,3.91769345455259e-02,1.38270450550687e+00,1.24430031863646e+00
29,nom,29,,1.27859831781935e+00,8.62897098329974e-05,1.06569779563516e-05,5.13410799058455e-06,5.12465381472990e-06,-8.66472812141584e+01,9.51893154512765e+05,1.69700642766288e+07,1.75381763394871e+00,3.93023246203613e-02,1.39387230223496e+00,1.25260885464881e+00
30,nom,30,,1.28115798069065e+00,8.16428178305046e-05,1.00222220455511e-05,4.80391033155168e-06,4.79546926867025e-06,-8.84065706137918e+01,1.02811368830460e+06,1.80482400174027e+07,1.75444605200636e+00,3.92005298486201e-02,1.39566884234746e+00,1.25556495371363e+00
31,nom,31,,1.27469834232156e+00,7.25526361969253e-05,9.26439962868882e-06,4.20205653757677e-06,4.19415596733829e-06,-9.52281069144875e+01,1.24314373738005e+06,2.11540379265951e+07,1.75589200527909e+00,3.89791428138984e-02,1.38557890513777e+00,1.24995238612772e+00
32,nom,32,,1.26614134290108e+00,7.33346808526299e-05,9.38676203791169e-06,4.31715504254651e-06,4.30954232946172e-06,-9.34742207813994e+01,1.20803706648274e+06,2.01112766339531e+07,1.75526429696203e+00,3.92626422318479e-02,1.37865089726483e+00,1.24101377163800e+00
33,nom,33,,1.27610912150714e+00,8.15723382213475e-05,1.01143554547021e-05,4.83672791220838e-06,4.82822274709730e-06,-8.81009622803874e+01,1.02481185862145e+06,1.78527501080115e+07,1.75427484370702e+00,3.93614598041108e-02,1.39088509014378e+00,1.25032446086128e+00
34,nom,34,,1.28372149690824e+00,8.69182301165250e-05,1.06378145054249e-05,5.13695362179803e-06,5.12715559364996e-06,-8.61324066944119e+01,9.39285422070019e+05,1.70629988768421e+07,1.75394397829704e+00,3.91642773478644e-02,1.39885951165168e+00,1.25784173519530e+00
