Point,Corner,mc_iteration,Pass/Fail,Voltage_thres,gm_0,gm_1,ID_max,ID_Interpol,Gain_inter,Rout_0,Rout_1,Voh,Vol,Vih,Vil
274,nom,274,,1.30084463593465e+00,8.80474105259606e-05,1.03211440740760e-05,5.11188833876900e-06,5.10188367340435e-06,-8.28068858576447e+01,8.93037827935792e+05,1.70642501765804e+07,1.75421586229476e+00,3.89457716698317e-02,1.41674730056573e+00,1.27507214689015e+00
275,nom,275,,1.26223586818140e+00,7.97757937008593e-05,1.02121889071206e-05,4.78424516708796e-06,4.77586417814535e-06,-9.07382604874591e+01,1.07739407686410e+06,1.80524203717787e+07,1.75415279725018e+00,3.94424675661560e-02,1.37652833478265e+00,1.23652300465236e+00
276,nom,276,,1.28668450846775e+00,8.06367555762710e-05,9.89167786848417e-06,4.69191370545476e-06,4.68286706241907e-06,-8.85380327156198e+01,1.04099029687865e+06,1.88012279569087e+07,1.75493147824449e+00,3.90308965795868e-02,1.40020174623481e+00,1.26131977082969e+00
277,nom,277,,1.24621874765467e+00,6.96916721551999e-05,9.29988201945344e-06,4.17649188585630e-06,4.16891618228462e-06,-9.45696616473259e+01,1.28211871500289e+06,2.05502393120077e+07,1.75519057999112e+00,3.95865293679710e-02,1.35866919337734e+00,1.22094973389115e+00
278,nom,278,,1.29246085363061e+00,8.43950808299037e-05,1.01268935640319e-05,4.92377038377777e-06,4.91428132484937e-06,-8.49750192299388e+01,9.55400453784708e+05,1.77327042778130e+07,1.75446292609527e+00,3.90957192935146e-02,1.40751978145525e+00,1.26674614829254e+00
279,nom,279,,1.25495093211117e+00,7.74251153743283e-05,1.00929483085660e-05,4.67080179206430e-06,4.66215589103446e-06,-9.03280786180210e+01,1.10273302252994e+06,1.84480631515862e+07,1.75427187427118e+00,3.96242035250080e-02,1.36913412970097e+00,1.22912525084115e+00
280,nom,280,,1.26960093911458e+00,7.67625714172523e-05,9.74020815600114e-06,4.52209345084509e-06,4.51437213678366e-06,-9.36269487088362e+01,1.15705562825100e+06,1.92965510377505e+07,1.75490025014010e+00,3.91527591560467e-02,1.38240178420225e+00,1.24443577257900e+00
281,nom,281,,1.27762205328160e+00,8.39691411028045e-05,1.03765404402107e-05,4.98266996961912e-06,4.97387715120554e-06,-8.79554431387669e+01,9.93906808368638e+05,1.74045719003639e+07,1.75404028086367e+00,3.92818891125563e-02,1.39257216607347e+00,1.25181236354992e+00
282,nom,282,,1.29864947215500e+00,9.06784445952212e-05,1.07253896448335e-05,5.30224311758079e-06,5.29124856996088e-06,-8.16564518172060e+01,8.53640046955064e+05,1.65759927559198e+07,1.75391602049545e+00,3.90480440505642e-02,1.41478991246838e+00,1.27259171156824e+00
283,nom,283,,1.25870353618390e+00,8.05552318682388e-05,1.03103763431491e-05,4.87210541171965e-06,4.86375314906591e-06,-8.92678625705452e+01,1.04988772796536e+06,1.74970243272909e+07,1.75380166490654e+00,3.96088922937907e-02,1.37397680671948e+00,1.23272179713826e+00
284,nom,284,,1.27655302142612e+00,7.81098349694320e-05,9.73885247200705e-06,4.58500489921339e-06,4.57707151001056e-06,-9.12503350931550e+01,1.10895477663830e+06,1.89855560447551e+07,1.75486359532613e+00,3.91782972571429e-02,1.38994279929993e+00,1.25123801843645e+00
285,nom,285,,1.27568107065589e+00,8.68722171881614e-05,1.07466722830593e-05,5.19245186038858e-06,5.18332254857131e-06,-8.71670604954944e+01,9.51865887495708e+05,1.66715026953584e+07,1.75359035320253e+00,3.93258717318873e-02,1.39126852439122e+00,1.24966139822798e+00
286,nom,286,,1.29029819770042e+00,8.18024184792188e-05,9.95515304113679e-06,4.74449096317833e-06,4.73516055562147e-06,-8.78260209187955e+01,1.01790304709129e+06,1.86455125919943e+07,1.75490161444566e+00,3.89437888565163e-02,1.40395607404843e+00,1.26495110656649e+00
287,nom,287,,1.25723930565579e+00,7.26046198123809e-05,9.52505361382327e-06,4.31997349242452e-06,4.31154214831068e-06,-9.21275737899424e+01,1.19831177385158e+06,2.01503349836973e+07,1.75517576787913e+00,3.95014982994279e-02,1.36979534089803e+00,1.23183023496874e+00
288,nom,288,,1.25805153257691e+00,7.38918079090742e-05,9.69720101096068e-06,4.39046491074921e-06,4.38212838271587e-06,-9.38570564895981e+01,1.20025457371089e+06,1.99655212029147e+07,1.75508182279698e+00,3.93526706749819e-02,1.37024522423392e+00,1.23279779966723e+00
289,nom,289,,1.27194811201525e+00,8.22509647523827e-05,1.02647104161848e-05,4.90424265752374e-06,4.89585146146853e-06,-8.88019370368765e+01,1.02450238686222e+06,1.75578569238645e+07,1.75403739338977e+00,3.93803023367079e-02,1.38689976849510e+00,1.24613492038059e+00
290,nom,290,,1.30643060634468e+00,8.62166112400687e-05,1.00733573790693e-05,4.94932038599239e-06,4.93894244368829e-06,-8.28501799278177e+01,9.11737412862474e+05,1.78535526544303e+07,1.75474859352636e+00,3.88220396474373e-02,1.42148108950544e+00,1.28088403669066e+00
291,nom,291,,1.26766936965478e+00,7.86929483659229e-05,1.00029574905607e-05,4.67564175292196e-06,4.66728213656262e-06,-9.10020702488204e+01,1.09566578268961e+06,1.85945873409000e+07,1.75452762708856e+00,3.93355730662806e-02,1.38136952167994e+00,1.24213340130420e+00
292,nom,292,,1.28228508291112e+00,8.02582537642690e-05,9.92141320825814e-06,4.69096848350747e-06,4.68227751038063e-06,-8.96782325673325e+01,1.05968455621741e+06,1.87389809266901e+07,1.75482539311878e+00,3.90734420988028e-02,1.39576384865649e+00,1.25692711835629e+00
293,nom,293,,1.30349396255229e+00,9.17084152884738e-05,1.05851256278412e-05,5.35808904898227e-06,5.34782053527156e-06,-7.98991558200247e+01,8.27988216037097e+05,1.60475637845777e+07,1.75368632874792e+00,3.90746938688392e-02,1.42093808223363e+00,1.27732091948939e+00
294,nom,294,,1.28330220033331e+00,8.45138781080653e-05,1.03292543781117e-05,4.97781788333414e-06,4.96877050360942e-06,-8.74023946337358e+01,9.81351849027809e+05,1.75085411873811e+07,1.75417690718328e+00,3.91299792001347e-02,1.39815401943179e+00,1.25761706295955e+00
295,nom,295,,1.25300313773892e+00,7.64890659650040e-05,9.98222456917403e-06,4.62259765196451e-06,4.61415218372891e-06,-9.01364803597101e+01,1.11404558368029e+06,1.85187924905565e+07,1.75428248453552e+00,3.96915113895375e-02,1.36738642798252e+00,1.22714228834323e+00
296,nom,296,,1.27436641142604e+00,7.75019317102305e-05,9.83373897196453e-06,4.54187395845629e-06,4.53332975522793e-06,-9.24753709410447e+01,1.12993769440145e+06,1.95061617753887e+07,1.75510123291561e+00,3.91128969902960e-02,1.38668219752420e+00,1.24917085912923e+00
297,nom,297,,1.28491676251606e+00,8.51804973003367e-05,1.03540978444157e-05,5.02282456210858e-06,5.01360661361401e-06,-8.59898376428827e+01,9.57976699873718e+05,1.72868216115483e+07,1.75409186726206e+00,3.92051828160658e-02,1.40022942085197e+00,1.25907250458896e+00
298,nom,298,,1.25524124724971e+00,7.06772686489492e-05,9.32326644622517e-06,4.19264261408187e-06,4.18466553107174e-06,-9.41102216399482e+01,1.25799104148084e+06,2.07565148724598e+07,1.75542526151960e+00,3.94274005091145e-02,1.36717859434589e+00,1.23007036729570e+00
299,nom,299,,1.26081699606491e+00,8.23283344410602e-05,1.04987605065410e-05,4.97040067954048e-06,4.96212715983518e-06,-9.03713843637674e+01,1.04075467294236e+06,1.72531061904259e+07,1.75367972483437e+00,3.94715412034351e-02,1.37589544322150e+00,1.23494769724321e+00
300,nom,300,,1.27678738880231e+00,7.90673619798271e-05,9.82864855915196e-06,4.65460744105098e-06,4.64652324344204e-06,-9.00387028903035e+01,1.08088649419527e+06,1.86374913076224e+07,1.75469391793173e+00,3.92470801687875e-02,1.39066637285880e+00,1.25131411141698e+00
301,nom,301,,1.31878663688925e+00,8.82598744331660e-05,1.01895269500013e-05,4.98297988301931e-06,4.97081300964001e-06,-8.14113254544754e+01,8.73431629312751e+05,1.82519593190792e+07,1.75517647774884e+00,3.85221724504828e-02,1.43300589966824e+00,1.29344228197102e+00
302,nom,302,,1.28356285769040e+00,8.34495407322692e-05,1.02582290145359e-05,4.89664611532043e-06,4.88742702657642e-06,-8.82234980490757e+01,1.00238386384147e+06,1.79587738587308e+07,1.75442867604251e+00,3.90687237234794e-02,1.39773157073017e+00,1.25801477712725e+00
303,nom,303,,1.26082112872441e+00,7.52631899930998e-05,9.64813077775723e-06,4.48991024484376e-06,4.48221049320111e-06,-9.15364411361093e+01,1.15268291772800e+06,1.90657919556098e+07,1.75466900862899e+00,3.94787410987699e-02,1.37467657192149e+00,1.23530981472608e+00
304,nom,304,,1.27016266436301e+00,7.41002777378288e-05,9.40610449174046e-06,4.34965930161876e-06,4.34192081123610e-06,-9.26022593787576e+01,1.18470347130187e+06,1.99968149231376e+07,1.75527443650057e+00,3.92409983111544e-02,1.38280247550953e+00,1.24499895646953e+00
305,nom,305,,1.27049054102268e+00,8.29206026967443e-05,1.04133803669544e-05,4.95333815842910e-06,4.94464199276660e-06,-8.90213821143253e+01,1.01788467356519e+06,1.74831023463995e+07,1.75397289565418e+00,3.93733457897893e-02,1.38527721141370e+00,1.24465734149586e+00
306,nom,306,,1.28500925059691e+00,8.83583362535591e-05,1.07376033488156e-05,5.22528480640483e-06,5.21552987820983e-06,-8.56713396538325e+01,9.19590332352935e+05,1.67094170095937e+07,1.75375073888097e+00,3.91244070178242e-02,1.40058473021788e+00,1.25909577731278e+00
307,nom,307,,1.28516826871915e+00,7.85501838547164e-05,9.78006972465718e-06,4.54913210044503e-06,4.53993178845360e-06,-9.04196394234973e+01,1.08973302634640e+06,1.96631853141803e+07,1.75535087016401e+00,3.89523765864419e-02,1.39742003285004e+00,1.26003171623126e+00
308,nom,308,,1.27944974640383e+00,8.08913430018426e-05,9.97775309906601e-06,4.75780976814909e-06,4.74954858585980e-06,-8.95630515124990e+01,1.05131364639234e+06,1.82499748520510e+07,1.75451952272312e+00,3.91631342933431e-02,1.39362365862013e+00,1.25396840642521e+00
309,nom,309,,1.22872550214394e+00,6.40169310506703e-05,8.89549821999705e-06,3.87724349905411e-06,3.86959105462570e-06,-9.48187208127355e+01,1.39383394403043e+06,2.19108365213462e+07,1.75560922085160e+00,3.99464335963471e-02,1.34059537422526e+00,1.20337607478290e+00
310,nom,310,,1.29265764814928e+00,8.44270015717475e-05,1.02132847782162e-05,4.90995188082572e-06,4.89996003088742e-06,-8.58031577938638e+01,9.63024085012205e+05,1.80398516693359e+07,1.75462953381903e+00,3.89914454217774e-02,1.40695276735555e+00,1.26707509719168e+00
311,nom,311,,1.26198503457385e+00,7.74164298833997e-05,9.93779969989973e-06,4.62256061490161e-06,4.61445397354159e-06,-9.16543434694411e+01,1.12142754322039e+06,1.86936761158708e+07,1.75448889928519e+00,3.94134508245023e-02,1.37574035085501e+00,1.23644323709134e+00
312,nom,312,,1.26613803441048e+00,7.57575987159395e-05,9.68843493807639e-06,4.48487478064655e-06,4.47676658171746e-06,-9.18555266317140e+01,1.14835808793357e+06,1.93801293487920e+07,1.75491055447493e+00,3.93389421679067e-02,1.37925887332955e+00,1.24076078207458e+00
313,nom,313,,1.26494963318224e+00,8.43690607470167e-05,1.05721046164648e-05,5.10074793328605e-06,5.09259766410450e-06,-8.82887057885940e+01,9.93711798027750e+05,1.66074957218462e+07,1.75338082617409e+00,3.95286455707458e-02,1.38110295198763e+00,1.23885791191575e+00
314,nom,314,,1.30217125544887e+00,9.01656662027887e-05,1.05797276595087e-05,5.23735388738826e-06,5.22656963582038e-06,-8.20685683117949e+01,8.63354080189592e+05,1.68055145938128e+07,1.75409271427002e+00,3.89119799066706e-02,1.41808683705516e+00,1.27631308347316e+00
315,nom,315,,1.27023287371412e+00,7.96133152401267e-05,1.00422011331229e-05,4.73208221216172e-06,4.72352848383546e-06,-8.93856398601840e+01,1.06387114970617e+06,1.83178429773757e+07,1.75443103376539e+00,3.93917934194894e-02,1.38442753186305e+00,1.24453888422669e+00
316,nom,316,,1.28578320887721e+00,7.70960164440034e-05,9.51155847559569e-06,4.46288884811846e-06,4.45437216682358e-06,-9.00180383400817e+01,1.10717887152980e+06,1.97670176396698e+07,1.75540966452507e+00,3.90353471162472e-02,1.39850002696167e+00,1.26062815964259e+00
317,nom,317,,1.28643451910260e+00,8.61444116620650e-05,1.04105347068639e-05,5.07709922327715e-06,5.06787600460154e-06,-8.56278623812254e+01,9.43635344938633e+05,1.70701774261420e+07,1.75398628220433e+00,3.91621239122864e-02,1.40201287422673e+00,1.26058483755418e+00
318,nom,318,,1.28067693544095e+00,8.13935956893714e-05,1.01000815148824e-05,4.78072088747760e-06,4.77172780099339e-06,-8.89237112124957e+01,1.03549077822277e+06,1.83947543209257e+07,1.75463142496962e+00,3.91653033430793e-02,1.39443515053980e+00,1.25514084859393e+00
319,nom,319,,1.24659366267267e+00,7.28423680450186e-05,9.67409591036234e-06,4.39715400209622e-06,4.38916952104676e-06,-9.27380551341460e+01,1.20279958932575e+06,1.94827445720661e+07,1.75467673626193e+00,3.96713699887382e-02,1.35999533877665e+00,1.22102275547187e+00
320,nom,320,,1.26295878424985e+00,7.26478754712046e-05,9.32706898425748e-06,4.29342545648460e-06,4.28594749678430e-06,-9.31103833654364e+01,1.21469818044803e+06,2.00707997569101e+07,1.75520015356478e+00,3.93581713056451e-02,1.37578941029107e+00,1.23775175831772e+00
321,nom,321,,1.26120464539806e+00,8.23211872622946e-05,1.04888092857841e-05,4.97661927567186e-06,4.96804819272424e-06,-8.88617617896116e+01,1.02272495008132e+06,1.71996200943465e+07,1.75367106510948e+00,3.95658797634557e-02,1.37659121877559e+00,1.23517416812484e+00
322,nom,322,,1.29736202082638e+00,8.55514028324007e-05,1.02190007103939e-05,4.96310863560514e-06,4.95284406260457e-06,-8.40882064630198e+01,9.31666730901780e+05,1.78035877565959e+07,1.75458265196530e+00,3.89901016813031e-02,1.41217279663083e+00,1.27168092943106e+00
323,nom,323,,1.26592836936285e+00,7.83325547509311e-05,9.94867461245499e-06,4.66685198413708e-06,4.65873579594172e-06,-9.07641859783509e+01,1.09838903460800e+06,1.84828385648544e+07,1.75444114835090e+00,3.93965927696888e-02,1.37999107493820e+00,1.24033746289479e+00
324,nom,324,,1.28725484283586e+00,7.99769107817206e-05,9.78824060370926e-06,4.64001194136339e-06,4.63125485935936e-06,-8.93317336353767e+01,1.05958480670714e+06,1.89938887416279e+07,1.75502717745052e+00,3.89516749695569e-02,1.40059091673325e+00,1.26202978238179e+00
325,nom,325,,1.29616956098430e+00,9.02158021411483e-05,1.06961590174658e-05,5.29155300245469e-06,5.28094985290942e-06,-8.20474088763517e+01,8.62533490715351e+05,1.65110160243021e+07,1.75383582840880e+00,3.91000822076365e-02,1.41245732333482e+00,1.27008546715152e+00
326,nom,326,,1.28704404327713e+00,8.36882434425989e-05,1.01819296585628e-05,4.89984134386610e-06,4.89060189886328e-06,-8.69184840247493e+01,9.85211639628273e+05,1.78700222274419e+07,1.75444080446895e+00,3.90859438481129e-02,1.40161200170734e+00,1.26142990109933e+00
327,nom,327,,1.25030799843735e+00,7.65973902657540e-05,1.01212427333118e-05,4.63130084176033e-06,4.62264781993035e-06,-9.18167827180793e+01,1.13201316739453e+06,1.86854299177818e+07,1.75432317920561e+00,3.96109036459972e-02,1.36399020626395e+00,1.22458818829773e+00
328,nom,328,,1.27321923194643e+00,7.69215981764104e-05,9.72678427675017e-06,4.51870254810409e-06,4.51043421876916e-06,-9.18049539519862e+01,1.13093909668456e+06,1.94104753200601e+07,1.75503374305287e+00,3.91977462432326e-02,1.38602939461048e+00,1.24794266721580e+00
329,nom,329,,1.27634204159212e+00,8.54716559856283e-05,1.05434784666602e-05,5.09195651120768e-06,5.08325021715103e-06,-8.78797073286142e+01,9.76117021634335e+05,1.69500776789649e+07,1.75375339433550e+00,3.92800902072077e-02,1.39174721834094e+00,1.25046488674437e+00
330,nom,330,,1.24215169639582e+00,6.80889326616626e-05,9.29847799241413e-06,4.07947191096328e-06,4.07111861937938e-06,-9.49674394135580e+01,1.31304826886815e+06,2.13604716793893e+07,1.75553631856091e+00,3.96204566075330e-02,1.35350553066816e+00,1.21692361144026e+00
331,nom,331,,1.30011907420638e+00,8.00338292951394e-05,9.60127183196564e-06,4.56948338724829e-06,4.55982892485835e-06,-8.68841607720422e+01,1.02893975312157e+06,1.95406859344899e+07,1.75551917482441e+00,3.87820282371358e-02,1.41315916837019e+00,1.27500686749782e+00
332,nom,332,,1.27976592956674e+00,7.83362633689156e-05,9.71741467207212e-06,4.58749088956370e-06,4.57925888037634e-06,-8.99236612995608e+01,1.08920653278133e+06,1.90163792488710e+07,1.75494244747720e+00,3.92053536430870e-02,1.39325384458525e+00,1.25436920392370e+00
333,nom,333,,1.28233972068740e+00,8.81050852488807e-05,1.06626605333453e-05,5.24606200011725e-06,5.23699070450712e-06,-8.49485206204408e+01,9.15865148943556e+05,1.63282032859432e+07,1.75349552406206e+00,3.93030006768284e-02,1.39882768550390e+00,1.25621940921288e+00
334,nom,334,,1.29219683329714e+00,8.23707108602649e-05,9.95090742432862e-06,4.77819278181102e-06,4.76885128186924e-06,-8.67532306426166e+01,9.98936590573037e+05,1.84307149030340e+07,1.75482284289626e+00,3.89796440564623e-02,1.40630048944163e+00,1.26675657991988e+00
335,nom,335,,1.25549519159382e+00,7.48764984670161e-05,9.81748201413074e-06,4.48175850198974e-06,4.47335311637503e-06,-9.23730023220382e+01,1.16579604933673e+06,1.93808092738622e+07,1.75475671165383e+00,3.94964519687184e-02,1.36855217300562e+00,1.22999713872248e+00
336,nom,336,,1.26968091161132e+00,7.55555208213485e-05,9.63897573418716e-06,4.43982099509454e-06,4.43182611572770e-06,-9.34741538658733e+01,1.17225583596982e+06,1.97613613453335e+07,1.75514540219772e+00,3.91639570241563e-02,1.38204121011286e+00,1.24455148336897e+00
337,nom,337,,1.27555782466331e+00,8.31391287429134e-05,1.03782221768885e-05,4.93516773068745e-06,4.92617639691341e-06,-8.85635425980520e+01,1.00969953127243e+06,1.76934646581717e+07,1.75417639768985e+00,3.93036192306590e-02,1.39000266381149e+00,1.24977654372457e+00
338,nom,338,,1.29977231022620e+00,8.85483606935767e-05,1.04106241923807e-05,5.15773172625423e-06,5.14749209244496e-06,-8.22016402555839e+01,8.81090385225749e+05,1.69101597238241e+07,1.75412160094590e+00,3.90286672054625e-02,1.41585818295340e+00,1.27386014290558e+00
339,nom,339,,1.25951426795214e+00,7.98106630424828e-05,1.02507251636872e-05,4.81187837126191e-06,4.80331059725856e-06,-8.95102843025274e+01,1.06168336721781e+06,1.78446360093033e+07,1.75400961746238e+00,3.95770641447591e-02,1.37430146606607e+00,1.23360655575689e+00
340,nom,340,,1.27472055514763e+00,8.13373614903439e-05,1.01822049484304e-05,4.81462257563656e-06,4.80597928800612e-06,-8.97220257583052e+01,1.04584307967748e+06,1.81345895379892e+07,1.75439674098655e+00,3.92640019999393e-02,1.38873350684750e+00,1.24910584554977e+00
341,nom,341,,1.26445996085534e+00,7.16615772671085e-05,9.31729142497739e-06,4.19522614862465e-06,4.18753425361076e-06,-9.63338259137777e+01,1.27238928989626e+06,2.10168317692103e+07,1.75566501213255e+00,3.91011102947688e-02,1.37552838283475e+00,1.23964960226818e+00
342,nom,342,,1.29158279882423e+00,8.57461437040773e-05,1.02848251605458e-05,5.01016680641843e-06,5.00072945895928e-06,-8.55561069515698e+01,9.47062669298070e+05,1.74282030276714e+07,1.75426269594258e+00,3.90148744515215e-02,1.40675262702675e+00,1.26591300389914e+00
343,nom,343,,1.26352134338691e+00,7.75506128476909e-05,9.91021573525408e-06,4.63142034861413e-06,4.62312711115065e-06,-9.02159815335597e+01,1.10172366874035e+06,1.86048832839497e+07,1.75447835162236e+00,3.94830992477161e-02,1.37762230341122e+00,1.23784833676770e+00
344,nom,344,,1.26816013586165e+00,7.68267607154310e-05,9.78272232380914e-06,4.54071201056585e-06,4.53266697787298e-06,-9.23905652474116e+01,1.13969884971724e+06,1.91972209927296e+07,1.75484033942690e+00,3.92551638952825e-02,1.38122071328430e+00,1.24284269264387e+00
345,nom,345,,1.27356852746907e+00,8.42278356351417e-05,1.04989440205922e-05,5.02966851914948e-06,5.02070768723745e-06,-8.76314623509272e+01,9.86455527658175e+05,1.72124122033578e+07,1.75387827422010e+00,3.93975876021391e-02,1.38873021797099e+00,1.24759979299588e+00
346,nom,346,,1.31166275099833e+00,9.29434791494428e-05,1.07233394835048e-05,5.35475882644374e-06,5.34275995123296e-06,-7.97323008389767e+01,8.13178005433432e+05,1.66122932623758e+07,1.75414986061357e+00,3.87917273570700e-02,1.42781257096864e+00,1.28575531737400e+00
347,nom,347,,1.27897839948519e+00,7.99763439486538e-05,9.85246640756034e-06,4.70886975589794e-06,4.70085256879061e-06,-8.91333841179677e+01,1.05868666327548e+06,1.83247107340394e+07,1.75456545188825e+00,3.92608491677782e-02,1.39334505263162e+00,1.25342448828386e+00
348,nom,348,,1.28371952378407e+00,7.82364183648705e-05,9.57850668923753e-06,4.55654454935491e-06,4.54859474866901e-06,-8.98625299294563e+01,1.09121893570649e+06,1.90590641243071e+07,1.75501058468947e+00,3.90852765072143e-02,1.39738318455021e+00,1.25846111903094e+00
349,nom,349,,1.28246591135202e+00,8.72460171983334e-05,1.06375983410189e-05,5.17610021209204e-06,5.16670596294965e-06,-8.57813628743772e+01,9.32874329774601e+05,1.67545223906429e+07,1.75374558791588e+00,3.92354665239858e-02,1.39818012808780e+00,1.25648416660274e+00
350,nom,350,,1.27451815275315e+00,8.27613748349942e-05,1.03597567143812e-05,4.90627918540942e-06,4.89753330442912e-06,-8.99875448649902e+01,1.03096200557575e+06,1.78334909029063e+07,1.75422238768242e+00,3.92152636328337e-02,1.38861573149740e+00,1.24890007864500e+00
351,nom,351,,1.24429088960401e+00,7.40736552715077e-05,9.80219879118434e-06,4.50767168698017e-06,4.49967570742042e-06,-9.09733108782552e+01,1.16082858051551e+06,1.87654230295550e+07,1.75428480216355e+00,3.98339382696222e-02,1.35878929793111e+00,1.21842875051539e+00
352,nom,352,,1.26592384109121e+00,7.32272839426208e-05,9.44278358010846e-06,4.30505712389080e-06,4.29708834187382e-06,-9.38066700171041e+01,1.21253937618441e+06,2.03588318844725e+07,1.75538626114302e+00,3.92301604819929e-02,1.37791918800771e+00,1.24083780491416e+00
353,nom,353,,1.27964987208436e+00,8.17776744718679e-05,1.00297508396902e-05,4.82807997843095e-06,4.81986492455580e-06,-8.82175841580242e+01,1.02484468197350e+06,1.78308624376145e+07,1.75430810638566e+00,3.92685402736027e-02,1.39453045228116e+00,1.25397305207051e+00
354,nom,354,,1.29131250228241e+00,8.64840736493869e-05,1.03817385379058e-05,5.06666051842185e-06,5.05695396984831e-06,-8.47408921141429e+01,9.29676934931431e+05,1.72298478859342e+07,1.75415847905545e+00,3.90857280331288e-02,1.40672531618819e+00,1.26550339594988e+00
355,nom,355,,1.25287244951413e+00,7.89069139397347e-05,1.03001174371192e-05,4.78524119326273e-06,4.77655120273670e-06,-9.02312516456160e+01,1.08105529865633e+06,1.79568617436094e+07,1.75397202688501e+00,3.96545993733047e-02,1.36747078517568e+00,1.22694431390606e+00
356,nom,356,,1.27994250156088e+00,7.99077793987190e-05,9.92376854349114e-06,4.68537893950620e-06,4.67678761633413e-06,-8.97914546091775e+01,1.06562916268304e+06,1.87154377138100e+07,1.75478396248344e+00,3.91551823975063e-02,1.39347304085779e+00,1.25451750346909e+00
357,nom,357,,1.29026547925451e+00,9.19323698576984e-05,1.09481322102144e-05,5.44919659095692e-06,5.43905229934900e-06,-8.24922142240117e+01,8.51784236166644e+05,1.58392110402923e+07,1.75332820009855e+00,3.91838534115028e-02,1.40726483947843e+00,1.26402393889602e+00
358,nom,358,,1.30075617816247e+00,8.27341425441438e-05,9.90209253307714e-06,4.75249426818511e-06,4.74212752259701e-06,-8.46498612634686e+01,9.69048862475409e+05,1.87894424902135e+07,1.75516797586737e+00,3.89107571855511e-02,1.41456368573953e+00,1.27530930021250e+00
359,nom,359,,1.26487122063452e+00,7.63410245320513e-05,9.76821260941594e-06,4.53305551258021e-06,4.52493578510010e-06,-9.16386424914491e+01,1.13699103330411e+06,1.91230658747728e+07,1.75475964685253e+00,3.93721289078624e-02,1.37826346085995e+00,1.23942428425923e+00
360,nom,360,,1.27353748418016e+00,7.69228283161836e-05,9.64208437783190e-06,4.52903371251178e-06,4.52107699727380e-06,-9.06557115920869e+01,1.11804128584668e+06,1.91242376267691e+07,1.75489657827016e+00,3.92868918156859e-02,1.38709526205196e+00,1.24813594647707e+00
361,nom,361,,1.26206271013221e+00,8.54544988567452e-05,1.08120570752315e-05,5.19997084195162e-06,5.19095608487172e-06,-8.65597763874687e+01,9.59722525176316e+05,1.63568961454787e+07,1.75320811719572e+00,3.96734119803107e-02,1.37852346468872e+00,1.23567845857619e+00
362,nom,362,,1.25906936831530e+00,6.98486353039744e-05,9.15023198876969e-06,4.11587546805263e-06,4.10809988042525e-06,-9.44814389014939e+01,1.27884456242928e+06,2.11748374596589e+07,1.75567491029290e+00,3.93436880967701e-02,1.37067773534975e+00,1.23404066447060e+00
363,nom,363,,1.27149418222888e+00,8.16147780496668e-05,1.01676618951090e-05,4.86012966806551e-06,4.85223287597954e-06,-8.99975950242751e+01,1.04756616772972e+06,1.76521833977202e+07,1.75406996012334e+00,3.93232870867102e-02,1.38633193630822e+00,1.24581996837673e+00
364,nom,364,,1.28520669019742e+00,7.91001069937319e-05,9.70975314782947e-06,4.59768842860394e-06,4.58921553717104e-06,-8.97200891589238e+01,1.07632948471678e+06,1.90882323549000e+07,1.75504633699321e+00,3.90140488603980e-02,1.39855012094564e+00,1.25997093616295e+00
365,nom,365,,1.28452874052282e+00,8.90363173143515e-05,1.08270432709468e-05,5.27663554773632e-06,5.26671392661119e-06,-8.52520550419846e+01,9.07961669780357e+05,1.65385199663174e+07,1.75364831890960e+00,3.91611306353933e-02,1.40028656895704e+00,1.25852947111341e+00
366,nom,366,,1.28011062331792e+00,8.31014990051937e-05,1.03088731231225e-05,4.89629806181254e-06,4.88707851233411e-06,-8.86015167985102e+01,1.01041113091129e+06,1.79677208054670e+07,1.75438946197474e+00,3.91561397364566e-02,1.39417111681909e+00,1.25449381286030e+00
367,nom,367,,1.25600206954084e+00,7.49335301256162e-05,9.72116755491466e-06,4.49704873572144e-06,4.48899728772506e-06,-9.09095815818796e+01,1.14797852889049e+06,1.90329697036427e+07,1.75459057840809e+00,3.96059136828024e-02,1.36996738657448e+00,1.23033958531669e+00
368,nom,368,,1.26078868063645e+00,7.41529240571789e-05,9.66416765055870e-06,4.39939823458423e-06,4.39096082405038e-06,-9.26961299801257e+01,1.18141582986109e+06,1.98960304375319e+07,1.75509482555713e+00,3.93799935048666e-02,1.37323894208896e+00,1.23545734925758e+00
369,nom,369,,1.27344580696314e+00,8.20896004017369e-05,1.01900151801577e-05,4.89385683088204e-06,4.88541683452895e-06,-8.75594704719118e+01,1.01225296052007e+06,1.75117605018905e+07,1.75404738594857e+00,3.94463217887846e-02,1.38875413369439e+00,1.24752139050121e+00
370,nom,370,,1.29627781825682e+00,8.75904058735187e-05,1.04764013192182e-05,5.09550653558917e-06,5.08499371503150e-06,-8.43247376759238e+01,9.12403449638367e+05,1.73849237450803e+07,1.75432320172407e+00,3.89286238533731e-02,1.41123403114486e+00,1.27057729575455e+00
371,nom,371,,1.27127906880880e+00,7.87798765313705e-05,9.88006872104135e-06,4.66884861626158e-06,4.66083660954854e-06,-9.02556953652714e+01,1.08711463669829e+06,1.84709362290652e+07,1.75451866331240e+00,3.93356293797131e-02,1.38542210809421e+00,1.24572438487530e+00
