"/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y"
0.9,0.9,0.9,1.797555129451577,0.9,1.797499608339739,0.9,1.797605974457915,0.9,1.798100788355773,0.9,1.796854019235621
0.90045,0.90045,0.90045,1.797548521415466,0.90045,1.79749349898003,0.90045,1.797598751971742,0.90045,1.798095686238139,0.90045,1.796845354212251
0.9008999999999999,0.9008999999999999,0.9008999999999999,1.797541895929485,0.9008999999999999,1.79748737533503,0.9008999999999999,1.797591507833791,0.9008999999999999,1.798090571526768,0.9008999999999999,1.79683666443587
0.9013499999999999,0.9013499999999999,0.9013499999999999,1.797535252934882,0.9013499999999999,1.797481237361593,0.9013499999999999,1.797584241962604,0.9013499999999999,1.798085444183498,0.9013499999999999,1.796827949814147
0.9017999999999998,0.9017999999999998,0.9017999999999998,1.797528592372637,0.9017999999999998,1.797475085016393,0.9017999999999998,1.797576954276319,0.9017999999999998,1.798080304170005,0.9017999999999998,1.796819210254292
0.9022499999999998,0.9022499999999998,0.9022499999999998,1.797521914183457,0.9022499999999998,1.797468918255919,0.9022499999999998,1.797569644692662,0.9022499999999998,1.798075151447801,0.9022499999999998,1.796810445663061
0.9026999999999997,0.9026999999999997,0.9026999999999997,1.797515218307779,0.9026999999999997,1.797462737036475,0.9026999999999997,1.797562313128947,0.9026999999999997,1.798069985978232,0.9026999999999997,1.796801655946745
0.9031499999999997,0.9031499999999997,0.9031499999999997,1.797508504685764,0.9031499999999997,1.797456541314182,0.9031499999999997,1.797554959502076,0.9031499999999997,1.798064807722477,0.9031499999999997,1.796792841011171
0.9035999999999996,0.9035999999999996,0.9035999999999996,1.797501773257298,0.9035999999999996,1.797450331044971,0.9035999999999996,1.797547583728533,0.9035999999999996,1.798059616641552,0.9035999999999996,1.796784000761703
0.9040499999999996,0.9040499999999996,0.9040499999999996,1.797495023961991,0.9040499999999996,1.797444106184588,0.9040499999999996,1.797540185724384,0.9040499999999996,1.7980544126963,0.9040499999999996,1.79677513510323
0.9044999999999995,0.9044999999999995,0.9044999999999995,1.797488256739174,0.9044999999999995,1.797437866688591,0.9044999999999995,1.797532765405273,0.9044999999999995,1.798049195847401,0.9044999999999995,1.796766243940174
0.9049499999999995,0.9049499999999995,0.9049499999999995,1.797481471527897,0.9049499999999995,1.797431612512346,0.9049499999999995,1.797525322686419,0.9049499999999995,1.798043966055361,0.9049499999999995,1.796757327176479
0.9053999999999994,0.9053999999999994,0.9053999999999994,1.79747466826693,0.9053999999999994,1.797425343611031,0.9053999999999994,1.797517857482617,0.9053999999999994,1.79803872328052,0.9053999999999994,1.79674838471561
0.9058499999999994,0.9058499999999994,0.9058499999999994,1.797467846894758,0.9058499999999994,1.797419059939633,0.9058499999999994,1.79751036970823,0.9058499999999994,1.798033467483042,0.9058499999999994,1.796739416460555
0.9062999999999993,0.9062999999999993,0.9062999999999993,1.797461007349584,0.9062999999999993,1.797412761452946,0.9062999999999993,1.79750285927719,0.9062999999999993,1.798028198622924,0.9062999999999993,1.796730422313815
0.9067499999999993,0.9067499999999993,0.9067499999999993,1.797454149569323,0.9067499999999993,1.79740644810557,0.9067499999999993,1.797495326102997,0.9067499999999993,1.798022916659987,0.9067499999999993,1.796721402177405
0.9071999999999992,0.9071999999999992,0.9071999999999992,1.797447273491601,0.9071999999999992,1.797400119851911,0.9071999999999992,1.797487770098711,0.9071999999999992,1.798017621553879,0.9071999999999992,1.796712355952853
