/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,GanhoEdNeo (Design_Point=1) X,GanhoEdNeo (Design_Point=1) Y,/I37/I0/b1 (Design_Point=1) X,/I37/I0/b1 (Design_Point=1) Y,GanhoVprod (Design_Point=1) X,GanhoVprod (Design_Point=1) Y
-0.482,1.700506751095139,-0.481,-0.03014190007277759,-0.482,1.228941737190574,-0.481,0.2498908634880335
-0.481,1.700476609195067,-0.48,-0.03029267511345243,-0.481,1.229191628054062,-0.48,0.2498908073074178
-0.48,1.700446316519953,-0.479,-0.03044451263134459,-0.48,1.229441518861369,-0.479,0.2498907406331961
-0.479,1.700415872007322,-0.478,-0.03059742062605506,-0.479,1.229691409602002,-0.478,0.2498906632089068
-0.478,1.700385274586696,-0.477,-0.03075141164288195,-0.478,1.229941300265211,-0.477,0.2498905747720934
-0.477,1.700354523175053,-0.476,-0.03090649370718343,-0.477,1.230191190839983,-0.476,0.2498904750518613
-0.476,1.700323616681346,-0.475,-0.03106267798202997,-0.476,1.230441081315035,-0.475,0.2498903637697667
-0.475,1.700292554003364,-0.474,-0.03121997252142347,-0.475,1.230690971678805,-0.474,0.2498902406466994
-0.474,1.700261334030842,-0.473,-0.03137839105127324,-0.474,1.230940861919452,-0.473,0.2498901053891165
-0.473,1.700229955639791,-0.472,-0.0315379409292493,-0.473,1.231190752024841,-0.472,0.2498899577008105
-0.472,1.700198417698862,-0.471,-0.03169863408736259,-0.472,1.231440641982541,-0.471,0.2498897972789125
-0.471,1.700166719064774,-0.47,-0.03186048146952555,-0.471,1.23169053177982,-0.47,0.2498896238116719
-0.47,1.700134858583305,-0.469,-0.03202349240871702,-0.47,1.231940421403632,-0.469,0.2498894369762359
-0.469,1.700102835090896,-0.468,-0.03218767967694267,-0.469,1.232190310840608,-0.468,0.2498892364510839
-0.468,1.700070647411219,-0.467,-0.03235305300797184,-0.468,1.232440200077059,-0.467,0.2498890218993741
-0.467,1.700038294358211,-0.466,-0.03251962366546121,-0.467,1.232690089098959,-0.466,0.2498887929769376
-0.466,1.700005774734546,-0.465,-0.03268740361628272,-0.466,1.232939977891936,-0.465,0.2498885493371625
-0.465,1.69997308733093,-0.464,-0.03285640365024986,-0.465,1.233189866441273,-0.464,0.2498882906141195
-0.464,1.699940230927279,-0.463,-0.03302663626825184,-0.464,1.233439754731887,-0.463,0.2498880164452097
-0.463,1.699907204291011,-0.462,-0.03319811212620924,-0.463,1.233689642748332,-0.462,0.2498877264545116
-0.462,1.699874006178885,-0.461,-0.03337084298737911,-0.462,1.233939530474787,-0.461,0.2498874202487842
-0.461,1.699840635335897,-0.46,-0.03354484297890534,-0.461,1.234189417895035,-0.46,0.2498870974407816
-0.46,1.699807090492919,-0.459,-0.03372012064617455,-0.46,1.234439304992476,-0.459,0.2498867576214978
-0.459,1.699773370372272,-0.458,-0.0338966918613792,-0.459,1.234689191750098,-0.458,0.2498864003779298
-0.458,1.699739473680411,-0.457,-0.03407456698645281,-0.458,1.234939078150476,-0.457,0.2498860252853061
-0.457,1.699705399113425,-0.456,-0.03425375862753374,-0.457,1.235188964175761,-0.456,0.2498856319088636
-0.456,1.699671145354797,-0.455,-0.03443428171956417,-0.456,1.23543884980767,-0.455,0.2498852198054011
-0.455,1.699636711073077,-0.454,-0.03461614575095415,-0.455,1.235688735027475,-0.454,0.2498847885175068
-0.454,1.699602094927327,-0.453,-0.03479936646022527,-0.454,1.235938619815993,-0.453,0.2498843375777768
-0.453,1.699567295560866,-0.452,-0.03498395590062484,-0.453,1.236188504153571,-0.452,0.2498838665134782
-0.452,1.699532311604966,-0.451,-0.03516992816421368,-0.452,1.236438388020084,-0.451,0.2498833748287852
-0.451,1.699497141676801,-0.45,-0.03535729659187577,-0.451,1.236688271394913,-0.45,0.2498828620272062
-0.45,1.69946178438021,-0.449,-0.0355460738934443,-0.45,1.23693815425694,-0.449,0.2498823275969284
