/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,/Vprod (Design_Point=1) X,/Vprod (Design_Point=1) Y
-0.2412000000001307,1.717610096668945,-0.2412000000001307,1.301975624000599
-0.2408400000001307,1.717574288309502,-0.2408400000001307,1.302064170046617
-0.2404800000001307,1.717538372786968,-0.2404800000001307,1.302152704145634
-0.2401200000001307,1.717502349621877,-0.2401200000001307,1.302241226202824
-0.2397600000001307,1.717466218331867,-0.2397600000001307,1.302329736122655
-0.2394000000001307,1.717429978431697,-0.2394000000001307,1.302418233808884
-0.2390400000001307,1.717393629432646,-0.2390400000001307,1.302506719164557
-0.2386800000001307,1.717357170843313,-0.2386800000001307,1.302595192091996
-0.2383200000001307,1.717320602168805,-0.2383200000001307,1.302683652492802
-0.2379600000001307,1.717283922911006,-0.2379600000001307,1.302772100267845
-0.2376000000001307,1.717247132568984,-0.2376000000001307,1.302860535317263
-0.2372400000001307,1.717210230638055,-0.2372400000001307,1.302948957540451
-0.2368800000001307,1.717173216610791,-0.2368800000001307,1.303037366836065
-0.2365200000001307,1.717136089975946,-0.2365200000001307,1.303125763102011
-0.2361600000001307,1.7170988502193,-0.2361600000001307,1.303214146235439
-0.2358000000001307,1.7170614968232,-0.2358000000001307,1.303302516132745
-0.2354400000001307,1.717024029266647,-0.2354400000001307,1.303390872689558
-0.2350800000001307,1.716986447025066,-0.2350800000001307,1.303479215800741
-0.2347200000001307,1.716948749570252,-0.2347200000001307,1.303567545360381
-0.2343600000001307,1.716910936371236,-0.2343600000001307,1.30365586126179
-0.2340000000001307,1.716873006892748,-0.2340000000001307,1.303744163397492
-0.2336400000001307,1.716834960596382,-0.2336400000001307,1.303832451659226
-0.2332800000001307,1.716796796940062,-0.2332800000001307,1.303920725937936
-0.2329200000001307,1.716758515378262,-0.2329200000001307,1.304008986123769
-0.2325600000001307,1.716720115361324,-0.2325600000001307,1.304097232106063
-0.2322000000001307,1.716681596336256,-0.2322000000001307,1.304185463773353
-0.2318400000001307,1.716642957746711,-0.2318400000001307,1.304273681013353
-0.2314800000001307,1.716604199031794,-0.2314800000001307,1.304361883712963
-0.2311200000001307,1.716565319627414,-0.2311200000001307,1.304450071758257
-0.2307600000001307,1.716526318965236,-0.2307600000001307,1.304538245034474
-0.2304000000001307,1.716487196473589,-0.2304000000001307,1.304626403426023
-0.2300400000001307,1.716447951576484,-0.2300400000001307,1.30471454681647
-0.2296800000001307,1.716408583694146,-0.2296800000001307,1.304802675088534
-0.2293200000001307,1.716369092242791,-0.2293200000001307,1.304890788124084
-0.2289600000001307,1.716329476634641,-0.2289600000001307,1.30497888580413
-0.2286000000001307,1.716289736277891,-0.2286000000001307,1.305066968008819
-0.2282400000001307,1.716249870576468,-0.2282400000001307,1.305155034617436
-0.2278800000001307,1.716209878930721,-0.2278800000001307,1.305243085508383
-0.2275200000001307,1.716169760735913,-0.2275200000001307,1.30533112055919
-0.2271600000001307,1.716129515384015,-0.2271600000001307,1.305419139646499
-0.2268000000001307,1.716089142262235,-0.2268000000001307,1.305507142646067
-0.2264400000001307,1.716048640753517,-0.2264400000001307,1.305595129432749
-0.2260800000001307,1.716008010236558,-0.2260800000001307,1.305683099880499
-0.2257200000001307,1.715967250085957,-0.2257200000001307,1.30577105386237
-0.2253600000001307,1.715926359671414,-0.2253600000001307,1.305858991250499
-0.2250000000001307,1.715885338358261,-0.2250000000001307,1.305946911916102
-0.2246400000001307,1.715844185507511,-0.2246400000001307,1.306034815729475
-0.2242800000001307,1.715802900475801,-0.2242800000001307,1.306122702559983
-0.2239200000001307,1.715761482614399,-0.2239200000001307,1.306210572276055
-0.2235600000001307,1.715719931270721,-0.2235600000001307,1.30629842474518
-0.2232000000001307,1.715678245787095,-0.2232000000001307,1.3063862598339
